date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:54	18898/18898	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-03.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-03.jpg	(from http://exprostudio.com/html/Finance/news-list.html)
08:50:56	17482/17482	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-04.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-04.jpg	(from http://exprostudio.com/html/Finance/news-list.html)
08:50:59	30681/30681	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-05.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-05.jpg	(from http://exprostudio.com/html/Finance/news-list.html)
08:51:00	26393/26393	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-06.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-06.jpg	(from http://exprostudio.com/html/Finance/news-list.html)
08:51:03	21389/21389	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-07.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-07.jpg	(from http://exprostudio.com/html/Finance/news-grid.html)
08:51:04	22791/22791	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-08.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-08.jpg	(from http://exprostudio.com/html/Finance/news-grid.html)
08:51:08	24864/24864	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-09.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-09.jpg	(from http://exprostudio.com/html/Finance/news-grid.html)
08:51:09	5562/5562	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/authors/img-01.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/authors/img-01.jpg	(from http://exprostudio.com/html/Finance/news-detail.html)
08:51:11	8211/8211	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/authors/img-02.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/authors/img-02.jpg	(from http://exprostudio.com/html/Finance/news-detail.html)
08:51:13	7172/7172	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/authors/img-03.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/authors/img-03.jpg	(from http://exprostudio.com/html/Finance/news-detail.html)
08:51:16	17407/17407	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/events/img-01.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/events/img-01.jpg	(from http://exprostudio.com/html/Finance/event-grid.html)
08:51:16	76865/76865	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-10.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-10.jpg	(from http://exprostudio.com/html/Finance/news-detail.html)
08:51:19	18801/18801	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/events/img-02.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/events/img-02.jpg	(from http://exprostudio.com/html/Finance/event-grid.html)
08:51:20	20887/20887	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/events/img-03.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/events/img-03.jpg	(from http://exprostudio.com/html/Finance/event-grid.html)
